Date,Followers
2020-03-15,966
2020-03-19,965
2020-03-29,976
2020-03-31,977
2020-04-16,991
2020-04-18,995
2020-04-20,998
2020-04-27,1016
2020-05-13,1040
2020-05-16,1043
2020-05-22,1049
2020-05-29,1054
2020-06-01,1062
2020-06-03,1116
2020-06-05,1118
2020-06-07,1189
2020-06-09,1199
2020-06-12,1200
2020-06-17,1215
2020-06-26,1215
2020-06-27,1223
2020-07-04,1242
2020-07-07,1243
2020-07-10,1254
2020-07-16,1259
2020-07-19,1266
2020-07-27,1269
2020-08-03,1274
2020-08-26,1278
2020-08-30,1285
2020-09-07,1294
2020-09-11,1298
2020-09-23,1305
2020-09-30,1311
2020-10-06,1312
2020-10-13,1317
2020-10-25,1326
2020-11-01,1327
2020-11-08,1330
2020-11-17,1334
2020-11-18,1336
2020-11-29,1342
2020-11-30,1340
2020-12-09,1341
2020-12-10,1339
2020-12-15,1343
2020-12-27,1347
2021-01-07,1351
2021-01-09,1354
2021-01-13,1353
2021-02-05,1365
2021-02-10,1364
2021-03-07,1370
2021-04-20,1369
2021-04-24,1371
2021-05-05,1370
2021-05-21,1371
2021-07-03,1381
2021-07-27,1390
2021-07-30,1400
2021-07-31,1415
2021-08-03,1418
2021-08-17,1416
2021-08-18,1429
2021-08-20,1441
2021-08-23,1451
2021-09-02,1454
2021-09-04,1447
2021-09-10,1459
2021-09-11,1462
2021-09-23,1470
2021-09-30,1472
2021-10-02,1476
2021-10-04,1479
2021-10-08,1492
2021-10-09,1496
2021-10-11,1497
2021-10-17,1500
2021-10-22,1507
2021-10-27,1509
2021-10-28,1511
2021-10-30,1513
2021-11-02,1514
2021-11-15,1521
2021-11-22,1525
2021-11-24,1532
2021-11-30,1540
2021-12-02,1541
2021-12-09,1544
2021-12-10,1552
2021-12-19,1578
2021-12-21,1585
2021-12-29,1586
2022-01-02,1587
2022-01-04,1588
2022-01-12,1593
2022-01-13,1591
2022-01-13,1590
2022-01-20,1596
2022-01-28,1598
2022-02-03,1597
2022-02-13,1600
2022-03-11,1610
2022-03-13,1615
2022-03-16,1620
2022-03-21,1619
2022-03-27,1623
2022-04-09,1629
2022-05-09,1632
2022-05-16,1635
2022-05-18,1637
2022-05-26,1638
2022-05-31,1641
2022-06-08,1640
2022-06-12,1650
2022-07-05,1653
2022-07-13,1653
2022-08-01,1654
2022-08-09,1652
2022-08-14,1653
2022-08-19,1654
2022-08-26,1655
2022-10-12,1661
2022-11-24,1650
2022-12-07,1652
2022-12-10,1650
2022-12-15,1648
2023-02-11,1656
2023-02-16,1666
2023-02-12,1660
2023-03-16,1663
2023-06-02,1666
2023-06-08,1674
2023-08-22,1669
2023-10-11,1681
2023-11-01,1687
2023-11-30,1697
2023-12-17,1702
2023-12-24,1703
2024-02-21,1705
2024-04-19,1715
2024-05-07,1726
2024-05-23,1745
2024-05-27,1747
2024-06-04,1750
2024-06-08,1751
2024-07-07,1756
2024-07-19,1767
2024-07-29,1774
2024-08-04,1770
2024-08-14,1776
2024-10-21,1788
2024-11-17,1777
2024-11-23,1775
2024-11-26,1791
2024-11-27,1785
2024-11-28,1781
2024-11-30,1770
2024-12-01,1769
2024-12-02,1766
2024-12-03,1760
2024-12-04,1745
2024-12-05,1758
2024-12-05,1764
2024-12-06,1767
2024-12-07,1769
2024-12-08,1769
2024-12-09,1770
2024-12-10,1772
2024-12-11,1772
2024-12-12,1771
2024-12-13,1772
2024-12-14,1772
2024-12-15,1774
2024-12-16,1774
2024-12-17,1772
2024-12-18,1771
2024-12-19,1773
2024-12-20,1773
2024-12-21,1770
2024-12-22,1771
2024-12-23,1771
2024-12-24,1771
2024-12-25,1771
2024-12-26,1771
2024-12-27,1771
2024-12-28,1770
2024-12-29,1770
2024-12-30,1770
2024-12-31,1769
2025-01-01,1769
2025-01-02,1768
2025-01-03,1767
2025-01-04,1767
2025-01-05,1767
2025-01-06,1767
2025-01-07,1767
2025-01-08,1767
2025-01-09,1769
2025-01-10,1767
2025-01-11,1768
2025-01-12,1769
2025-01-13,1767
2025-01-14,1765
2025-01-15,1766
2025-01-16,1766
2025-01-17,1766
2025-01-18,1765
2025-01-19,1766
2025-01-20,1763
2025-01-21,1761
2025-01-22,1759
2025-01-23,1758
2025-01-24,1755
2025-01-25,1755
2025-01-26,1753
2025-01-27,1749
2025-01-28,1753
2025-01-29,1752
2025-01-30,1753
2025-01-31,1753
2025-02-01,1753
2025-02-02,1754
2025-02-03,1754
2025-02-04,1754
2025-02-05,1751
2025-02-06,1751
2025-02-07,1749
2025-02-08,1749
2025-02-09,1748
2025-02-10,1747
2025-02-11,1747
2025-02-12,1746
2025-02-13,1749
2025-02-13,1749
2025-02-14,1751
2025-02-15,1750
2025-02-16,1749
2025-02-17,1749
2025-02-18,1748
2025-02-19,1749
2025-02-20,1750
2025-02-21,1748
2025-02-22,1748
2025-02-23,1750
2025-02-24,1750
2025-02-25,1751
2025-02-26,1752
2025-02-27,1752
2025-02-28,1751
2025-03-01,1751
2025-03-02,1749
2025-03-03,1748
2025-03-04,1750
2025-03-05,1750
2025-03-06,1752
2025-03-07,1752
2025-03-08,1752
2025-03-09,1750
2025-03-10,1749
2025-03-11,1750
2025-03-12,1751
2025-03-13,1751
2025-03-14,1753
2025-03-15,1752
2025-03-16,1752
2025-03-17,1752
2025-03-18,1752
2025-03-19,1752
2025-03-20,1752
2025-03-21,1750
2025-03-22,1750
2025-03-23,1750
2025-03-24,1753
2025-03-25,1754
2025-03-26,1754
2025-03-27,1754
2025-03-28,1754
2025-03-29,1755
2025-03-30,1755
2025-03-31,1756
2025-04-01,1755
2025-04-02,1753
2025-04-03,1753
2025-04-04,1753
2025-04-05,1753
2025-04-06,1752
2025-04-07,1750
2025-04-08,1749
2025-04-09,1749
2025-04-10,1749
2025-04-11,1749
2025-04-12,1749
2025-04-13,1748
2025-04-14,1750
2025-04-15,1749
2025-04-16,1750
2025-04-17,1748
2025-04-18,1748
2025-04-19,1749
2025-04-20,1748
2025-04-21,1748
2025-04-22,1748
2025-04-23,1748
2025-04-24,1747
2025-04-25,1748
2025-04-26,1745
2025-04-27,1745
2025-04-28,1745
2025-04-29,1745
2025-04-30,1744
2025-05-01,1745
2025-05-02,1747
2025-05-03,1748
2025-05-04,1748
2025-05-05,1747
2025-05-06,1748
2025-05-07,1748
2025-05-08,1747
2025-05-09,1747
2025-05-10,1747
2025-05-11,1745
2025-05-12,1745
2025-05-13,1745
2025-05-14,1742
2025-05-15,1744
2025-05-16,1743
2025-05-17,1742
2025-05-18,1742
2025-05-19,1743
2025-05-20,1742
2025-05-21,1743
2025-05-22,1743
2025-05-23,1742
2025-05-24,1742
2025-05-25,1742
2025-05-26,1742
2025-05-27,1743
2025-05-28,1742
2025-05-29,1742
2025-05-30,1742
2025-05-31,1741
2025-06-01,1741
2025-06-02,1742
2025-06-03,1742
2025-06-04,1741
2025-06-05,1741
2025-06-06,1744
2025-06-07,1744
2025-06-08,1743
2025-06-09,1743
2025-06-10,1743
2025-06-11,1743
